location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude
663497,Nicosia,o3,76.0,µg/m³,2024-01-06 08:00:00+00:00,2024-01-06 10:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,80.0,µg/m³,2024-01-06 09:00:00+00:00,2024-01-06 11:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,85.0,µg/m³,2024-01-06 11:00:00+00:00,2024-01-06 13:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,89.0,µg/m³,2024-01-06 12:00:00+00:00,2024-01-06 14:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,91.0,µg/m³,2024-01-06 13:00:00+00:00,2024-01-06 15:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,88.0,µg/m³,2024-01-06 14:00:00+00:00,2024-01-06 16:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,83.0,µg/m³,2024-01-06 15:00:00+00:00,2024-01-06 17:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,81.0,µg/m³,2024-01-06 16:00:00+00:00,2024-01-06 18:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,79.0,µg/m³,2024-01-06 17:00:00+00:00,2024-01-06 19:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,83.0,µg/m³,2024-01-06 18:00:00+00:00,2024-01-06 20:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,84.0,µg/m³,2024-01-06 19:00:00+00:00,2024-01-06 21:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,86.0,µg/m³,2024-01-06 20:00:00+00:00,2024-01-06 22:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,91.0,µg/m³,2024-01-06 21:00:00+00:00,2024-01-06 23:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,85.0,µg/m³,2024-01-06 22:00:00+00:00,2024-01-07 00:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,87.0,µg/m³,2024-01-06 23:00:00+00:00,2024-01-07 01:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,84.0,µg/m³,2024-01-07 00:00:00+00:00,2024-01-07 02:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,83.0,µg/m³,2024-01-07 01:00:00+00:00,2024-01-07 03:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,84.0,µg/m³,2024-01-07 02:00:00+00:00,2024-01-07 04:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,79.0,µg/m³,2024-01-07 03:00:00+00:00,2024-01-07 05:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,78.0,µg/m³,2024-01-07 04:00:00+00:00,2024-01-07 06:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,77.0,µg/m³,2024-01-07 05:00:00+00:00,2024-01-07 07:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,74.0,µg/m³,2024-01-07 06:00:00+00:00,2024-01-07 08:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,70.0,µg/m³,2024-01-07 07:00:00+00:00,2024-01-07 09:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,69.0,µg/m³,2024-01-07 08:00:00+00:00,2024-01-07 10:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,69.0,µg/m³,2024-01-07 09:00:00+00:00,2024-01-07 11:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,81.0,µg/m³,2024-01-07 11:00:00+00:00,2024-01-07 13:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,92.0,µg/m³,2024-01-07 12:00:00+00:00,2024-01-07 14:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,94.0,µg/m³,2024-01-07 13:00:00+00:00,2024-01-07 15:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,94.0,µg/m³,2024-01-07 14:00:00+00:00,2024-01-07 16:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,98.0,µg/m³,2024-01-07 15:00:00+00:00,2024-01-07 17:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,99.0,µg/m³,2024-01-07 16:00:00+00:00,2024-01-07 18:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,99.0,µg/m³,2024-01-07 17:00:00+00:00,2024-01-07 19:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,97.0,µg/m³,2024-01-07 20:00:00+00:00,2024-01-07 22:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,93.0,µg/m³,2024-01-08 01:00:00+00:00,2024-01-08 03:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,92.0,µg/m³,2024-01-08 04:00:00+00:00,2024-01-08 06:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,92.0,µg/m³,2024-01-08 06:00:00+00:00,2024-01-08 08:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,86.0,µg/m³,2024-01-08 07:00:00+00:00,2024-01-08 09:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,77.0,µg/m³,2024-01-08 08:00:00+00:00,2024-01-08 10:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
663497,Nicosia,o3,76.0,µg/m³,2024-01-08 09:00:00+00:00,2024-01-08 11:00:00+02:00,Asia/Nicosia,35.0380556,33.0577778
